"_primaryKey","_firstSeenAt","_lastSeenAt","lotId","updatedAt","vin","yardNumber","yardName","saleDate","saleDayOfWeek","saleTime","saleTimeZone","itemNumber","vehicleType","year","make","modelGroup","modelDetail","bodyStyle","exteriorColor","damageDescription","secondaryDamage","saleTitleState","saleTitleType","hasKeys","lotCondCode","mileage","odometerBrand","estRetailValue","repairCost","engine","drivetrain","transmission","fuelType","cylinders","runsDrives","saleStatus","highBid","specialNote","locationCity","locationState","locationZip","locationCountry","currencyCode","imageThumbnail","imageUrl","gridRow","makeOfferEligible","buyItNowPrice","trim","rentals","wholesale","sellerName","offsiteAddress1","offsiteState","offsiteCity","offsiteZip","saleLight","autoGrade","announcements","listingUrl"
"61381955","2026-03-24 23:48:35.825","2026-03-26 05:37:16.096","61381955","2026-03-25 19:02:36.000","[PREMIUM]","394","TX - NORTH AUSTIN","2026-03-26","THURSDAY","1200","CDT","3103","V",2024,"CHEVROLET","BLAZER","BLAZER",,"GRAY","BURN",,"TX","SV","EXM","E",0,"N","[PREMIUM]",46059,,"ALL WHEEL DRIVE","AUTOMATIC","ELECTRIC",,"DEFAULT","Pure Sale","[PREMIUM]",,"TAYLOR","TX","76574","USA","USD","[PREMIUM]","[PREMIUM]","G200",false,"[PREMIUM]","RS",false,false,"[PREMIUM]",,,,,,,,"[PREMIUM]"
"71429275","2026-03-24 23:46:12.593","2026-03-26 05:34:51.528","71429275","2026-03-24 18:14:57.000","[PREMIUM]","187","GA - MACON","2026-03-26","THURSDAY","1000","EDT","0","V",2003,"TOYOTA","HIGHLANDER","HIGHLANDER",,"GOLD","REAR END",,"GA","ST","YES","D",251734,"E","[PREMIUM]",3484.49,"2.4L  4","Front-wheel Drive","AUTOMATIC","GAS",4,"Run & Drive Verified","Pure Sale","[PREMIUM]",,"BYRON","GA","31008","USA","USD","[PREMIUM]","[PREMIUM]","D0060",false,"[PREMIUM]",,false,false,"[PREMIUM]",,,,,,,,"[PREMIUM]"
"80204565","2026-03-24 23:44:36.788","2026-03-27 11:33:02.291","80204565","2026-03-27 08:00:57.000","[PREMIUM]","143","KY - LOUISVILLE","2026-04-02","THURSDAY","1000","EDT","0","V",2012,"HONDA","CRV","CR-V EXL","4DR SPOR","BLUE","FRONT END",,"KY","ST","YES","D",272348,"A","[PREMIUM]",4595,"2.4L  4","ALL WHEEL DRIVE","AUTOMATIC","GAS",4,"Run & Drive Verified","On Minimum Bid","[PREMIUM]",,"LOUISVILLE","KY","40272 2985","USA","USD","[PREMIUM]","[PREMIUM]","A030",false,"[PREMIUM]","EXL",false,false,"[PREMIUM]",,,,,,,,"[PREMIUM]"
"71157395","2026-03-24 23:44:19.179","2026-03-30 23:12:49.491","71157395","2026-03-30 12:55:30.000","[PREMIUM]","136","AL - BIRMINGHAM","2026-03-31","TUESDAY","1200","CDT","3267","V",2017,"CHEVROLET","ALL Models","SILVERADO","CREW PICKUP","BLUE","ROLLOVER","FRONT END","AL","ST","YES","D",187287,"A","[PREMIUM]",13653,"5.3L  8","Rear-wheel drive","AUTOMATIC","GAS",8,"Run & Drive Verified","Pure Sale","[PREMIUM]",,"HUEYTOWN","AL","35023 2868","USA","USD","[PREMIUM]","[PREMIUM]","CC100",false,"[PREMIUM]","C1500 LT",false,false,"[PREMIUM]",,,,,,,,"[PREMIUM]"
"51409885","2026-03-24 23:44:01.763","2026-04-02 05:35:11.608","51409885","2026-04-02 02:45:29.000","[PREMIUM]","130","DE - SEAFORD","2026-04-07","TUESDAY","1000","EDT","0","V",2024,"HYUNDAI","SANTA CRUZ","SANTA CRUZ","PICKUP","BEIGE","FRONT END",,"DE","ST","YES","E",12823,"A","[PREMIUM]",32825,"2.5L 4","ALL WHEEL DRIVE","AUTOMATIC","GAS",4,"DEFAULT","On Minimum Bid","[PREMIUM]",,"SEAFORD","DE","19973 6329","USA","USD","[PREMIUM]","[PREMIUM]","A070",false,"[PREMIUM]","LIMITED",false,false,"[PREMIUM]",,,,,,,,"[PREMIUM]"
"44077905","2026-03-24 23:43:45.654","2026-04-07 11:35:30.942","44077905","2026-03-24 22:50:35.000","[PREMIUM]","123","NE - LINCOLN",,,,"CDT","0","V",2010,"DODGE","All Models","RAM 3500",,"BLACK","FRONT END","HAIL","MO","SC","YES","D",316478,"A","[PREMIUM]",17276.53,"6.7L  6","Rear-wheel drive","AUTOMATIC","DIESEL",6,"Run & Drive Verified","Pure Sale","[PREMIUM]",,"GREENWOOD","NE","68366 1607","USA","USD","[PREMIUM]","[PREMIUM]","P001",false,"[PREMIUM]",,false,false,"[PREMIUM]",,,,,,,,"[PREMIUM]"
"41698765","2026-03-24 23:43:03.706","2026-04-07 11:34:50.879","41698765","2026-03-24 19:36:51.000","[PREMIUM]","107","GA - ATLANTA EAST",,,,"EDT","0","V",2023,"DODGE","CHARGER","CHARGER",,"GREEN","MINOR DENT/SCRATCHES",,"GA","ST","NO","E",51110,"A","[PREMIUM]",0,"3.6L  6","ALL WHEEL DRIVE","AUTOMATIC","GAS",6,"DEFAULT","Pure Sale","[PREMIUM]",,"LOGANVILLE","GA","30052 4625","USA","USD","[PREMIUM]","[PREMIUM]","SE004",false,"[PREMIUM]","SXT",false,false,"[PREMIUM]",,,,,,,,"[PREMIUM]"
"90538525","2026-03-24 23:42:20.850","2026-04-07 11:34:03.197","90538525","2026-04-03 19:18:48.000","[PREMIUM]","88","GA - TIFTON","2026-04-07","TUESDAY","1000","EDT","165","V",2011,"FORD","FUSION","FUSION",,"GRAY","FRONT END",,"GA","ST","YES","D",238888,"A","[PREMIUM]",2516,"2.5L  4","Front-wheel Drive","AUTOMATIC","GAS",4,"Run & Drive Verified","Pure Sale","[PREMIUM]",,"TIFTON","GA","31794 8897","USA","USD","[PREMIUM]","[PREMIUM]","AA070",false,"[PREMIUM]","SE",false,false,"[PREMIUM]",,,,,,,,"[PREMIUM]"
"79904125","2026-03-24 23:36:47.418","2026-04-07 11:40:44.542","79904125","2026-03-31 14:58:58.000","[PREMIUM]","398","IA - CEDAR RAPIDS",,,,"CDT","0","V",2006,"NISSAN","FRONTIER","FRONTIER","PICKUP","BLUE","FRONT END","SIDE","IA","ST","YES","D",222120,"E","[PREMIUM]",0,"4.0L 6","FOUR BY FOUR","AUTOMATIC","GAS",6,"Run & Drive Verified","On Minimum Bid","[PREMIUM]",,"CEDAR RAPIDS","IA","52404","USA","USD","[PREMIUM]","[PREMIUM]","C020",false,"[PREMIUM]","SE",false,false,"[PREMIUM]",,,,,,,,"[PREMIUM]"
"78588175","2026-03-24 23:36:47.212","2026-04-07 11:40:44.243","78588175","2026-04-03 20:50:53.000","[PREMIUM]","398","IA - CEDAR RAPIDS","2026-04-15","WEDNESDAY","1200","CDT","0","V",2014,"TOYOTA","CAMRY","CAMRY",,"WHITE","VANDALISM",,"IA","ST","YES","D",143541,"A","[PREMIUM]",8770,"2.5L  4","Front-wheel Drive","AUTOMATIC","HYBRID ENGINE",4,"Run & Drive Verified","Pure Sale","[PREMIUM]",,"CEDAR RAPIDS","IA","52404","USA","USD","[PREMIUM]","[PREMIUM]","D030",false,"[PREMIUM]","HYBRID",false,false,"[PREMIUM]",,,,,,,,"[PREMIUM]"
